city,postcode_range
Salvaterra,68860-000 a 68869-999
Chaves,68880-000 a 68889-999
Tamandaré,55578-000 a 55579-999
Belmonte,45800-000 a 45806-999
Balneário Piçarras,88380-000 a 88384-999
Garopaba,88495-000 a 88499-999
São João de Pirabas,68719-000 a 68719-999
Imbé,95625-000 a 95629-999
Alcobaça,45910-000 a 45919-999
Alcântara,65250-000 a 65254-999
Caravelas,45900-000 a 45909-999
Piúma,29285-000 a 29289-999
Fundão,29185-000 a 29189-999
Porto Belo,88210-000 a 88214-999
São José da Coroa Grande,55565-000 a 55569-999
Bequimão,65248-000 a 65249-999
São João Batista,65225-000 a 65229-999
Itapoá,89249-000 a 89249-999
Maraú,45520-000 a 45529-999
Uruçuca,45680-000 a 45689-999
Cândido Mendes,65280-000 a 65282-999
Jaguaruna,88715-000 a 88716-999
Icapuí,62810-000 a 62814-999
Jijoca de Jericoacoara,62598-000 a 62599-999
Bombinhas,88215-000 a 88219-999
Pitimbu,58324-000 a 58325-999
Una,45690-000 a 45694-999
Jaguaripe,44480-000 a 44489-999
Bacuri,65270-000 a 65271-999
Cairu,45420-000 a 45429-999
São Caetano de Odivelas,68775-000 a 68779-999
Piaçabuçu,57210-000 a 57219-999
Apicum-Açu,65275-000 a 65275-999
Bacabeira,65143-000 a 65144-999
Fortim,62815-000 a 62819-999
Xangri-Lá,95588-000 a 95589-999
Carapebus,27998-000 a 27999-999
Cidreira,95595-000 a 95598-999
Paulino Neves,65585-000 a 65589-999
Barra de Santo Antônio,57925-000 a 57929-999
Santo Amaro do Maranhão,65195-000 a 65199-999
Guamaré,59598-000 a 59599-999
Primeira Cruz,65190-000 a 65194-999
Passo de Camaragibe,57930-000 a 57934-999
Barroquinha,62410-000 a 62419-999
Governador Celso Ramos,88190-000 a 88199-999
Pacatuba,61800-001 a 61879-999
Tibau do Sul,59178-000 a 59179-999
Balneário Pinhal,95599-000 a 95599-999
Nilo Peçanha,45440-000 a 45442-999
Quatipuru,68709-000 a 68709-999
Igrapiúna,45443-000 a 45444-999
Paripueira,57935-000 a 57939-999
Lucena,58315-000 a 58319-999
Balneário Arroio do Silva,88914-000 a 88914-999
Mostardas,96270-000 a 96289-999
Balneário Rincão,88828-000 a 88829-999
Cananéia,11990-000 a 11999-999
Maxaranguape,59580-000 a 59581-999
Axixá,65148-000 a 65149-999
Colares,68785-000 a 68785-999
Guimarães,65255-000 a 65259-999
Godofredo Viana,65285-000 a 65287-999
Jequiá da Praia,57255-000 a 57256-999
Presidente Kennedy,29350-000 a 29359-999
Palmares do Sul,95540-000 a 95551-999
Terra de Areia,95535-000 a 95537-999
Cajapió,65230-000 a 65232-999
Ilha Comprida,11925-000 a 11929-999
Calçoene,68960-000 a 68972-999
Balneário Gaivota,88955-000 a 88959-999
Rio do Fogo,59578-000 a 59579-999
Balneário Barra do Sul,89247-000 a 89247-999
Jandaíra,48310-000 a 48329-999
Cedral,65260-000 a 65262-999
Grossos,59675-000 a 59677-999
São Miguel do Gostoso,59585-000 a 59585-999
Serrano do Maranhão,65269-000 a 65269-999
Arroio do Sal,95585-000 a 95587-999
Ilha Grande,64224-000 a 64224-999
Pirambu,49190-000 a 49199-999
Baía Formosa,59194-000 a 59195-999
Amapá,68950-000 a 68959-999
Baía da Traição,58295-000 a 58296-999
Passo de Torres,88980-000 a 88989-999
Marcação,58294-000 a 58294-999
Magalhães Barata,68722-000 a 68724-999
Mataraca,58292-000 a 58293-999
Japaratinga,57950-000 a 57954-999
Barra de São Miguel,57180-000 a 57199-999
Brejo Grande,49995-000 a 49999-999
São Miguel dos Milagres,57940-000 a 57944-999
Porto de Pedras,57945-000 a 57949-999
Cajueiro da Praia,64222-000 a 64223-999
Guaraqueçaba,83390-000 a 83399-999
Paulo Lopes,88490-000 a 88494-999
Luís Domingues,65290-000 a 65291-999
Roteiro,57257-000 a 57259-999
Caiçara do Norte,59592-000 a 59593-999
Porto do Mangue,59668-000 a 59669-999
Porto Rico do Maranhão,65263-000 a 65264-999
Bacurituba,65233-000 a 65234-999
Tavares,58753-000 a 58754-999
Feliz Deserto,57220-000 a 57229-999
Senador Georgino Avelino,59168-000 a 59169-999
Tibau,59678-000 a 59679-999
Pedra Grande,59588-000 a 59589-999
Fernando de Noronha,53990-000 a 53999-999
Galinhos,59596-000 a 59597-999
São Bento do Norte,59590-000 a 59591-999
